X,Y,id,name
190495.751635465,444775.248340764,,서울 지하철 2호선
203125.504091295,451314.882785117,,서울 지하철 2호선
208711.168924378,447751.10806394,,서울 지하철 2호선
203643.569728061,452594.736350944,,서울 지하철 2호선 성수지선
191171.73784902,448022.521954362,,서울 지하철 2호선
187137.718317716,446351.539450491,,서울 지하철 2호선-신정지선
196144.086826321,442265.72900302,,서울 지하철 2호선
191834.513155332,449017.551711926,,서울 지하철 2호선
190731.9827878,443691.863623158,,서울 지하철 2호선
194673.832278367,450724.930343525,,서울 지하철 2호선
188124.773217844,445864.892290993,,서울 지하철 2호선-신정지선
209244.216947993,446662.973669169,,서울 지하철 2호선
209187.085039745,446180.142284052,,서울 지하철 2호선
204570.638504846,449591.425788751,,서울 지하철 2호선 성수지선
193728.975468463,442746.323392461,,서울 지하철 2호선
193414.473582943,442811.585941073,,서울 지하철 2호선
190670.826852356,446362.336606207,,서울 지하철 2호선
204528.292275428,451315.208580938,,서울 지하철 2호선 성수지선
199526.557474471,442337.329546839,,서울 지하철 2호선
202852.781030698,444431.90945879,,서울 지하철 2호선
204553.933996039,449966.406132791,,서울 지하철 2호선 성수지선
204598.860728416,450124.683156294,,서울 지하철 2호선 성수지선
204529.474345569,451302.44003158,,서울 지하철 2호선 성수지선
204936.611304002,449458.095239443,,서울 지하철 2호선
203920.664837642,450082.481809653,,서울 지하철 2호선
206514.962605606,448833.482383541,,서울 지하철 2호선
208728.165659916,447708.14103196,,서울 지하철 2호선
209240.501850817,446660.960664879,,서울 지하철 2호선
203850.350333961,450762.528342526,,서울 지하철 2호선
203071.898828903,451349.248191197,,서울 지하철 2호선
194691.424512311,450725.613592787,,서울 지하철 2호선
191174.90377152,448019.877078921,,서울 지하철 2호선
191837.436158185,449015.201440291,,서울 지하철 2호선
190500.397523248,444774.610408632,,서울 지하철 2호선
190736.989576445,443693.128852798,,서울 지하철 2호선
193355.583336314,442888.968374196,,서울 지하철 2호선
193352.282118291,442886.079801763,,서울 지하철 2호선
193417.792945945,442815.040556707,,서울 지하철 2호선
193733.473674616,442750.307356842,,서울 지하철 2호선
196146.326214288,442269.235144379,,서울 지하철 2호선
199469.697265309,442320.213309766,,서울 지하철 2호선
202851.470796107,444436.509404095,,서울 지하철 2호선
209213.142575692,446220.664892585,,서울 지하철 2호선
190676.197012994,446361.892183736,,서울 지하철 2호선
186595.039868583,447702.386066226,,서울 지하철 2호선-신정지선
189407.097775871,446253.034850397,,서울 지하철 2호선-신정지선
203567.69534455,452642.627203164,,서울 지하철 2호선 성수지선
197983.049921799,451712.944101931,,서울 지하철 2호선
204019.943847914,452383.059681099,,서울 지하철 2호선 성수지선
204022.0624111,452386.440304634,,서울 지하철 2호선 성수지선
204175.786335035,452218.446465213,,서울 지하철 2호선 성수지선
204185.061376982,452211.664189322,,서울 지하철 2호선 성수지선
192262.941246947,449804.642727043,,서울 지하철 2호선
192266.977785853,449802.563492211,,서울 지하철 2호선
